Age,Year,Month,Region,Diagnosis,Clinical Sign
0-7 days,2012,5,Yorkshire and The Humber,Yolk sac infection/omphalitis,other/unknown
0-7 days,2012,6,Yorkshire and The Humber,Yorkshire and The Humber,other/unknown
0-7 days,2012,7,East of England,Not listed - systemic,Found Dead
0-7 days,2012,8,South East,Yolk sac infection/omphalitis,Respiratory
0-7 days,2012,9,West Midlands,Yolk sac infection/omphalitis,Found Dead
0-7 days,2013,1,West Midlands,Colisepticaemia,Found Dead
0-7 days,2013,2,West Midlands,Not listed - systemic,Found Dead
0-7 days,2013,9,Scotland,Yolk sac infection/omphalitis,other/unknown
0-7 days,2013,11,Scotland,"Nephrosis, nephropathy and visceral gout",Found Dead
0-7 days,2015,5,North West,Not listed - reproductive,other/unknown
0-7 days,2015,9,Wales,Coccidiosis,Wasting
0-7 days,2015,9,Wales,Helminthosis,Wasting
0-7 days,2015,9,Wales,Infectious bronchitis,Wasting
0-7 days,2016,1,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2016,3,Scotland,Sudden death syndrome ('Flipover'),Found Dead
0-7 days,2016,3,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2016,4,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2016,5,Scotland,Colisepticaemia,Found Dead
0-7 days,2016,6,Scotland,Colisepticaemia,other/unknown
0-7 days,2016,8,South West,Not listed - digestive,Wasting
0-7 days,2016,8,South West,Red Mite,Wasting
0-7 days,2016,9,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2016,11,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2017,1,Scotland,"Nephrosis, nephropathy and visceral gout",Found Dead
0-7 days,2017,1,Scotland,Trauma/Fracture,other/unknown
0-7 days,2017,1,Scotland,Yolk sac infection/omphalitis,other/unknown
0-7 days,2017,1,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2017,3,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2017,4,Scotland,Coccidiosis,Found Dead
0-7 days,2017,4,Scotland,Septicaemia if not otherwise specified,other/unknown
0-7 days,2017,4,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2017,8,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2017,8,Scotland,starve out (1st 4 days life),Found Dead
0-7 days,2017,8,Scotland,Septicaemia if not otherwise specified,Nervous
0-7 days,2017,8,Scotland,Septicaemia if not otherwise specified,Found Dead
0-7 days,2017,8,Scotland,Adverse environment,Found Dead
0-7 days,2017,9,Scotland,Colisepticaemia,Found Dead
0-7 days,2017,10,Scotland,Colisepticaemia,Wasting
0-7 days,2017,10,Scotland,Impactions,other/unknown
0-7 days,2017,10,Scotland,Yolk sac infection/omphalitis,Found Dead
0-7 days,2018,3,Scotland,Yolk sac infection/omphalitis,Wasting
0-7 days,2018,9,South West,Yolk sac infection/omphalitis,Wasting
0-7 days,2018,9,South West,Coccidiosis,Wasting
0-7 days,2018,9,South West,Rotavirus,Wasting
0-7 days,2020,7,Scotland,Red Mite,Found Dead
0-7 days,2020,7,South West,Rotavirus,Found Dead
0-7 days,2021,4,West Midlands,Yolk sac infection/omphalitis,other/unknown
0-7 days,2021,10,Scotland,"Nephrosis, nephropathy and visceral gout",Found Dead
0-7 days,2022,4,East of England,starve out (1st 4 days life),Found Dead
0-7 days,2023,5,North West,Pododermatitis,Musculoskeletal&/or Lame
0-7 days,2023,5,North West,Skeletal defects,Musculoskeletal&/or Lame
0-7 days,2023,11,Wales,starve out (1st 4 days life),Found Dead
0-7 days,2025,2,West Midlands,Arthritis/tenosynovitis-Staph,other/unknown
0-7 days,2025,2,West Midlands,Pericarditis NOS,other/unknown
Unknown/Other,2014,1,East of England,Malnutrition,other/unknown
Unknown/Other,2014,3,North West,Blackhead,other/unknown
Unknown/Other,2014,6,East of England,Egg peritonitis and salpingitis,Abnormal faeces or other GIT
Unknown/Other,2014,6,East of England,Predation,Abnormal faeces or other GIT
Unknown/Other,2014,6,Scotland,Yolk sac infection/omphalitis,Wasting
Unknown/Other,2014,8,Wales,Coccidiosis,Abnormal faeces or other GIT
Unknown/Other,2014,8,Wales,Egg peritonitis and salpingitis,Non-specific
Unknown/Other,2014,8,Wales,Helminthosis,Non-specific
Unknown/Other,2014,9,East of England,Coccidiosis,Respiratory
Unknown/Other,2014,9,East of England,Helminthosis,Respiratory
Unknown/Other,2014,9,East of England,"Marek's Disease
",Respiratory
Unknown/Other,2014,9,Scotland,Broiler ascites,Found Dead
Unknown/Other,2014,9,Scotland,Egg peritonitis and salpingitis,Found Dead
Unknown/Other,2014,10,South West,Infectious laryngo-tracheitis,Respiratory
Unknown/Other,2014,10,West Midlands,Not listed - systemic,Recumbent
Unknown/Other,2014,11,Scotland,Not listed - reproductive,Wasting
Immature,2012,1,Yorkshire and The Humber,"Marek's Disease
",Respiratory
Immature,2012,2,Scotland,"Nephrosis, nephropathy and visceral gout",Abnormal faeces or other GIT
Immature,2012,2,West Midlands,Infectious bronchitis,Wasting
Immature,2012,2,West Midlands,Not listed - digestive,Found Dead
Immature,2012,3,Yorkshire and The Humber,Osteomyelitis or spondylitis,Musculoskeletal&/or Lame
Immature,2012,4,West Midlands,Pneumonia -other cause,Found Dead
Immature,2012,5,East Midlands,Infectious sinusitis (Not otherwise specified),Respiratory
Immature,2012,5,East Midlands,Mycoplasmosis - other,Respiratory
Immature,2012,5,East Midlands,Osteomyelitis or spondylitis,Musculoskeletal&/or Lame
Immature,2012,5,East Midlands,Skeletal defects,Musculoskeletal&/or Lame
Immature,2012,5,Scotland,Pneumonia -other cause,Respiratory
Immature,2012,5,South East,Infectious bronchitis,Respiratory
